scenario_id,A-1,A-2,A-3,A-4,B-1,B-2
NLB-v3-AM-EX-019,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous
NLB-v3-AM-EX-020,ambiguous,ambiguous,ambiguous,ambiguous,feasible,ambiguous
NLB-v3-AM-ST-002,ambiguous,ambiguous,feasible,feasible,ambiguous,feasible
NLB-v3-AM-ST-007,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous
NLB-v3-AM-ST-008,feasible,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous
NLB-v3-AM-ST-010,ambiguous,ambiguous,ambiguous,infeasible,feasible,ambiguous
NLB-v3-AM-ST-012,ambiguous,ambiguous,feasible,ambiguous,ambiguous,ambiguous
NLB-v3-AM-ST-013,feasible,ambiguous,feasible,ambiguous,ambiguous,feasible
NLB-v3-AM-ST-015,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous
NLB-v3-AM-ST-016,feasible,ambiguous,ambiguous,ambiguous,feasible,ambiguous
NLB-v3-AM-ST-017,ambiguous,feasible,ambiguous,ambiguous,feasible,ambiguous
NLB-v3-AM-ST-018,feasible,ambiguous,ambiguous,ambiguous,ambiguous,infeasible
NLB-v3-AM-ST-019,ambiguous,ambiguous,ambiguous,ambiguous,feasible,ambiguous
NLB-v3-AM-ST-020,ambiguous,ambiguous,infeasible,feasible,ambiguous,ambiguous
NLB-v3-CX-AT-001,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-CX-AT-005,ambiguous,feasible,ambiguous,feasible,feasible,infeasible
NLB-v3-CX-AT-012,ambiguous,feasible,feasible,feasible,feasible,ambiguous
NLB-v3-CX-AT-024,feasible,feasible,feasible,feasible,feasible,ambiguous
NLB-v3-CX-AT-028,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-CX-AT-029,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-CX-AT-033,feasible,feasible,ambiguous,feasible,ambiguous,ambiguous
NLB-v3-CX-CO-002,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-CX-CO-014,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-CX-CO-015,feasible,feasible,feasible,feasible,feasible,infeasible
NLB-v3-CX-CO-019,feasible,feasible,ambiguous,feasible,feasible,infeasible
NLB-v3-CX-CO-020,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-CX-CO-027,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-CX-CO-034,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-CX-CU-007,feasible,feasible,infeasible,feasible,feasible,feasible
NLB-v3-CX-CU-012,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-CX-CU-023,feasible,feasible,feasible,feasible,feasible,ambiguous
NLB-v3-CX-CU-028,feasible,feasible,ambiguous,ambiguous,feasible,infeasible
NLB-v3-CX-CU-029,feasible,feasible,ambiguous,ambiguous,feasible,ambiguous
NLB-v3-CX-CU-035,feasible,feasible,feasible,ambiguous,feasible,ambiguous
NLB-v3-CX-CU-038,feasible,feasible,ambiguous,feasible,feasible,ambiguous
NLB-v3-CX-DE-008,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-CX-DE-010,ambiguous,feasible,ambiguous,ambiguous,feasible,feasible
NLB-v3-CX-DE-023,ambiguous,feasible,feasible,feasible,feasible,infeasible
NLB-v3-CX-DE-024,feasible,feasible,feasible,ambiguous,feasible,feasible
NLB-v3-CX-DE-032,ambiguous,feasible,feasible,feasible,feasible,ambiguous
NLB-v3-CX-DE-035,feasible,feasible,feasible,feasible,feasible,ambiguous
NLB-v3-CX-DE-036,ambiguous,infeasible,feasible,feasible,feasible,infeasible
NLB-v3-DI-AT-011,ambiguous,infeasible,infeasible,infeasible,infeasible,ambiguous
NLB-v3-DI-AT-016,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-DI-AT-019,ambiguous,feasible,ambiguous,feasible,feasible,ambiguous
NLB-v3-DI-AT-031,feasible,ambiguous,infeasible,ambiguous,ambiguous,feasible
NLB-v3-DI-AT-034,feasible,feasible,feasible,ambiguous,feasible,feasible
NLB-v3-DI-AT-036,feasible,ambiguous,feasible,feasible,feasible,feasible
NLB-v3-DI-AT-038,feasible,feasible,feasible,infeasible,feasible,infeasible
NLB-v3-DI-CO-010,feasible,feasible,feasible,ambiguous,feasible,ambiguous
NLB-v3-DI-CO-012,feasible,feasible,feasible,ambiguous,feasible,feasible
NLB-v3-DI-CO-019,feasible,feasible,feasible,ambiguous,feasible,feasible
NLB-v3-DI-CO-025,feasible,feasible,feasible,ambiguous,feasible,feasible
NLB-v3-DI-CO-026,infeasible,feasible,feasible,infeasible,feasible,feasible
NLB-v3-DI-CO-029,feasible,feasible,feasible,infeasible,feasible,feasible
NLB-v3-DI-CO-035,feasible,feasible,feasible,ambiguous,feasible,feasible
NLB-v3-DI-CU-007,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-DI-CU-008,feasible,feasible,feasible,infeasible,feasible,feasible
NLB-v3-DI-CU-010,feasible,ambiguous,infeasible,ambiguous,feasible,feasible
NLB-v3-DI-CU-013,feasible,feasible,ambiguous,ambiguous,feasible,feasible
NLB-v3-DI-CU-015,feasible,feasible,feasible,ambiguous,feasible,feasible
NLB-v3-DI-CU-031,feasible,feasible,feasible,ambiguous,feasible,ambiguous
NLB-v3-DI-CU-036,feasible,feasible,feasible,infeasible,feasible,feasible
NLB-v3-DI-DE-001,feasible,ambiguous,feasible,feasible,feasible,feasible
NLB-v3-DI-DE-017,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-DI-DE-022,feasible,ambiguous,feasible,feasible,feasible,feasible
NLB-v3-DI-DE-023,feasible,feasible,feasible,feasible,feasible,ambiguous
NLB-v3-DI-DE-032,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-DI-DE-037,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-DI-DE-038,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-AT-005,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-AT-014,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-AT-029,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-AT-031,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-AT-036,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-AT-037,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-CO-003,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-CO-007,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-CO-010,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-CO-029,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-CO-035,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-CO-036,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-CU-005,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-CU-006,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-CU-014,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-CU-020,feasible,feasible,feasible,feasible,feasible,ambiguous
NLB-v3-EX-CU-021,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-CU-031,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-DE-007,feasible,feasible,infeasible,ambiguous,feasible,feasible
NLB-v3-EX-DE-010,feasible,feasible,feasible,ambiguous,feasible,ambiguous
NLB-v3-EX-DE-020,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-DE-021,feasible,feasible,ambiguous,infeasible,feasible,feasible
NLB-v3-EX-DE-034,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-EX-DE-040,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-IN-CX-002,feasible,ambiguous,ambiguous,ambiguous,infeasible,ambiguous
NLB-v3-IN-CX-004,ambiguous,infeasible,infeasible,infeasible,infeasible,ambiguous
NLB-v3-IN-CX-005,feasible,ambiguous,ambiguous,ambiguous,feasible,feasible
NLB-v3-IN-CX-007,feasible,feasible,feasible,ambiguous,feasible,feasible
NLB-v3-IN-CX-008,infeasible,feasible,feasible,ambiguous,feasible,infeasible
NLB-v3-IN-CX-010,ambiguous,ambiguous,ambiguous,ambiguous,infeasible,infeasible
NLB-v3-IN-CX-011,infeasible,ambiguous,ambiguous,ambiguous,feasible,ambiguous
NLB-v3-IN-CX-012,feasible,feasible,infeasible,infeasible,feasible,feasible
NLB-v3-IN-CX-017,ambiguous,feasible,feasible,feasible,infeasible,feasible
NLB-v3-IN-CX-018,ambiguous,infeasible,infeasible,infeasible,infeasible,infeasible
NLB-v3-IN-CX-019,infeasible,ambiguous,infeasible,infeasible,infeasible,infeasible
NLB-v3-IN-CX-020,infeasible,ambiguous,infeasible,ambiguous,infeasible,feasible
NLB-v3-IN-DI-001,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible
NLB-v3-IN-DI-002,infeasible,infeasible,feasible,ambiguous,feasible,infeasible
NLB-v3-IN-DI-005,infeasible,feasible,infeasible,ambiguous,infeasible,feasible
NLB-v3-IN-DI-008,feasible,feasible,feasible,ambiguous,infeasible,infeasible
NLB-v3-IN-DI-009,infeasible,infeasible,infeasible,ambiguous,infeasible,infeasible
NLB-v3-IN-DI-011,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible
NLB-v3-IN-DI-012,infeasible,infeasible,infeasible,ambiguous,infeasible,infeasible
NLB-v3-IN-DI-014,feasible,infeasible,ambiguous,infeasible,infeasible,infeasible
NLB-v3-IN-DI-015,ambiguous,infeasible,infeasible,infeasible,infeasible,infeasible
NLB-v3-IN-DI-016,feasible,infeasible,infeasible,infeasible,infeasible,infeasible
NLB-v3-IN-DI-018,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible
NLB-v3-IN-DI-019,infeasible,infeasible,ambiguous,infeasible,infeasible,infeasible
NLB-v3-IN-EX-003,feasible,feasible,feasible,infeasible,feasible,feasible
NLB-v3-IN-EX-004,feasible,ambiguous,infeasible,infeasible,feasible,feasible
NLB-v3-IN-EX-005,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-IN-EX-007,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-IN-EX-009,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-IN-EX-010,infeasible,infeasible,infeasible,feasible,feasible,feasible
NLB-v3-IN-EX-012,feasible,infeasible,infeasible,infeasible,feasible,ambiguous
NLB-v3-IN-EX-013,feasible,ambiguous,infeasible,feasible,feasible,feasible
NLB-v3-IN-EX-014,feasible,infeasible,infeasible,infeasible,infeasible,feasible
NLB-v3-IN-EX-015,feasible,infeasible,infeasible,infeasible,feasible,feasible
NLB-v3-IN-EX-016,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-IN-EX-020,feasible,feasible,infeasible,feasible,infeasible,infeasible
NLB-v3-IN-ST-001,feasible,infeasible,infeasible,infeasible,infeasible,infeasible
NLB-v3-IN-ST-003,feasible,feasible,ambiguous,infeasible,infeasible,infeasible
NLB-v3-IN-ST-004,feasible,ambiguous,infeasible,ambiguous,infeasible,infeasible
NLB-v3-IN-ST-005,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible
NLB-v3-IN-ST-006,feasible,infeasible,ambiguous,infeasible,infeasible,infeasible
NLB-v3-IN-ST-007,infeasible,infeasible,infeasible,infeasible,feasible,feasible
NLB-v3-IN-ST-009,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-IN-ST-011,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible
NLB-v3-IN-ST-013,infeasible,infeasible,infeasible,feasible,infeasible,infeasible
NLB-v3-IN-ST-014,infeasible,infeasible,infeasible,ambiguous,feasible,infeasible
NLB-v3-IN-ST-016,ambiguous,infeasible,infeasible,infeasible,infeasible,infeasible
NLB-v3-IN-ST-020,feasible,infeasible,infeasible,ambiguous,feasible,infeasible
NLB-v3-ST-AT-003,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-AT-008,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-AT-013,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-AT-019,feasible,infeasible,feasible,feasible,feasible,feasible
NLB-v3-ST-AT-034,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-AT-037,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-CO-004,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-CO-016,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-CO-020,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-CO-027,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-CO-033,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-CO-038,feasible,ambiguous,feasible,feasible,feasible,feasible
NLB-v3-ST-CU-006,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-CU-008,feasible,feasible,feasible,feasible,feasible,ambiguous
NLB-v3-ST-CU-015,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-CU-020,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-CU-027,feasible,feasible,infeasible,feasible,feasible,ambiguous
NLB-v3-ST-CU-032,feasible,feasible,infeasible,feasible,feasible,feasible
NLB-v3-ST-DE-012,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-DE-013,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-DE-015,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-DE-017,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-DE-031,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-ST-DE-036,feasible,feasible,feasible,ambiguous,feasible,feasible
