scenario_id,flags,instruction,constraints_present,fixture_entities,claude_verdict,claude_note,author_verdict(COVERED/CONFIRMED_GAP/AMBIGUOUS),author_note,split,cell,yaml_path,final
NLEB-ST-CO-010,duration_mention_without_duration_constraint,"On the last clip on the timeline, remove any existing blur effect and add a brightness effect instead.","[required] entity_not_exists({""type"": ""effect"", ""parent"": ""video_clip_3"", ""effect_type"": ""blur""}) 
[required] has_effect({""entity"": ""video_clip_3"", ""effect_type"": ""brightness""}) 
[required] unchanged_except({""changed"": [""video_clip_3""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"No duration demand in prose; 'last clip on the timeline' is a selector resolved to video_clip_3, enforced by entity_not_exists(blur)+has_effect(brightness)+unchanged_except.",COVERED,"Here ""the last clip"" is unambiguous so I will let it pass, but this needs thought when clips at the same time exist on several tracks. (I omit this point from here on.) Also, entity_not_exists and has_effect feel asymmetric as names, which is slightly jarring, but not wrong, so I will let it go.",dev,state/compound,feasible/state/compound/dev/NLEB-ST-CO-010.yaml,
NLEB-ST-CO-025,duration_mention_without_duration_constraint,"On the first video on the timeline, set x to 20 and add a contrast effect. / On the last video, set y to -10 and add a brightness effect.","[required] attribute_equals({""entity"": ""video_clip_1"", ""field"": ""transform.position_x"", ""value"": 20}) 
[required] has_effect({""entity"": ""video_clip_1"", ""effect_type"": ""contrast""}) 
[required] attribute_equals({""entity"": ""video_clip_3"", ""field"": ""transform.position_y"", ""value"": -10}) 
[required] has_effect({""entity"": ""video_clip_3"", ""effect_type"": ""brightness""}) 
[required] unchanged_except({""changed"": [""video_clip_1"", ""video_clip_3""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,Heuristic false alarm: no duration prose. 'set x to 20'/'set y to -10' covered by attribute_equals transform.position_x=20 (vc1) and position_y=-10 (vc3); effects via has_effect.,COVERED,,test,state/compound,feasible/state/compound/test/NLEB-ST-CO-025.yaml,
NLEB-ST-CO-037,duration_mention_without_duration_constraint,"On the first V1 clip, add a fade-in and set opacity 0.95. / On the last V1 clip, add a fade-out and set opacity 0.95. / Remove the longer V2 clip and update the remaining V2 clip's scale to 1.3.","[required] has_effect({""entity"": ""video_clip_1"", ""effect_type"": ""fade_in""}) 
[required] attribute_equals({""entity"": ""video_clip_1"", ""field"": ""transform.opacity"", ""value"": 0.95}) 
[required] has_effect({""entity"": ""video_clip_3"", ""effect_type"": ""fade_out""}) 
[required] attribute_equals({""entity"": ""video_clip_3"", ""field"": ""transform.opacity"", ""value"": 0.95}) 
[required] entity_not_exists({""entity"": ""video_clip_4""}) 
[required] attribute_equals({""entity"": ""video_clip_5"", ""field"": ""transform.scale_x"", ""value"": 1.3})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",COVERED,"the longer V2 clip' is a duration-based selector, not a duration demand; resolved to video_clip_4 and enforced by entity_not_exists(video_clip_4); remaining V2 scale via attribute_equals(vc5).",CONFIRMED_GAP,"V2 has only two clips, so does ""the longer V2 clip"" pick one out? The scale_y condition is missing.",test,state/compound,feasible/state/compound/test/NLEB-ST-CO-037.yaml,
NLEB-ST-CU-006,duration_mention_without_duration_constraint,Link the first video clip with the audio clip that plays at the same time. / Then add a blur effect to the last video clip on V1. / Also mute the audio clip that starts at the same time as the first video clip.,"[required] has_link({""clip_ids"": [""video_clip_1"", ""audio_clip_1""]}) 
[required] has_effect({""entity"": ""video_clip_3"", ""effect_type"": ""blur""}) 
[required] attribute_equals({""entity"": ""audio_clip_1"", ""field"": ""audio.muted"", ""value"": true})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"plays/starts at the same time' are temporal selectors, not duration demands; resolved to audio_clip_1 and enforced by has_link(vc1,ac1) and attribute_equals(ac1 muted=true).",COVERED,I think the condition is well made: it accepts a link existing after the operation even if none existed before. I would have objected had it required creating a new link.,dev,state/cumulative,feasible/state/cumulative/dev/NLEB-ST-CU-006.yaml,
NLEB-ST-CU-011,duration_mention_without_duration_constraint,Add a contrast effect to the last video clip on V1. / Boost the volume of the audio that plays at the same time by 3 dB.,"[required] has_effect({""entity"": ""video_clip_3"", ""effect_type"": ""contrast""}) 
[required] attribute_changed({""entity"": ""audio_clip_3"", ""field"": ""audio.volume"", ""direction"": ""increase""}) 
[required] unchanged_except({""changed"": [""video_clip_3"", ""audio_clip_3""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"the audio that plays at the same time' is a selector resolved to audio_clip_3, enforced by attribute_changed(ac3 volume increase); no normative duration demand in prose.",CONFIRMED_GAP,"There is no condition that audio_clip_3 increases by exactly 3 dB. It is somewhat ambiguous because two audio clips are playing at the same time on tracks A1/A2, but in context I agree with the reading.",test,state/cumulative,feasible/state/cumulative/test/NLEB-ST-CU-011.yaml,
NLEB-ST-CU-015,duration_mention_without_duration_constraint,Find the video clip with the longest duration and add a fade-out effect. / Also set its opacity to 0.85.,"[required] has_effect({""entity"": ""video_clip_3"", ""effect_type"": ""fade_out""}) 
[required] attribute_equals({""entity"": ""video_clip_3"", ""field"": ""transform.opacity"", ""value"": 0.85}) 
[required] unchanged_except({""changed"": [""video_clip_3""]})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",COVERED,"clip with the longest duration' is a selector, resolved to video_clip_3 and enforced by has_effect(fade_out)+attribute_equals(opacity 0.85)+unchanged_except; no duration requirement in prose.",COVERED,"The conditions are fine, but in this fixture video_clip_1 and caption_1 overlap on track V1. Such a fixture cannot exist. Please check whether the same fixture is used elsewhere.",test,state/cumulative,feasible/state/cumulative/test/NLEB-ST-CU-015.yaml,
NLEB-ST-CU-017,duration_mention_without_duration_constraint,Remove the last video clip on the timeline. / Also unlink the first video and audio pair. Keep the removal.,"[required] entity_not_exists({""entity"": ""video_clip_3""}) 
[required] not_linked({""entity"": ""video_clip_1""}) 
[required] unchanged_except({""changed"": [""video_clip_3"", ""video_clip_1"", ""audio_clip_1""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"Heuristic false alarm: no duration prose. 'last video clip' / 'first pair' selectors enforced by entity_not_exists(vc3), not_linked(vc1), unchanged_except.",CONFIRMED_GAP,"not_linked must check audio_clip_1 as well, not only video_clip_1.",test,state/cumulative,feasible/state/cumulative/test/NLEB-ST-CU-017.yaml,
NLEB-ST-CU-018,duration_mention_without_duration_constraint,Set the opacity of the video clip that starts last on V1 to 0.6. / Also mute the audio clip that overlaps with it.,"[required] attribute_equals({""entity"": ""video_clip_3"", ""field"": ""transform.opacity"", ""value"": 0.6}) 
[required] attribute_equals({""entity"": ""audio_clip_3"", ""field"": ""audio.muted"", ""value"": true}) 
[required] unchanged_except({""changed"": [""video_clip_3"", ""audio_clip_3""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"starts last on V1' and 'overlaps with it' are selectors resolved to vc3/ac3, enforced by attribute_equals(opacity 0.6, muted true)+unchanged_except; no duration demand.",CONFIRMED_GAP,"""Plays at the same time"" and ""overlaps"" are somewhat different; I think audio_clip_4 should be muted too.",test,state/cumulative,feasible/state/cumulative/test/NLEB-ST-CU-018.yaml,
NLEB-ST-CU-023,duration_mention_without_duration_constraint,Mute the audio clip with the longest duration. / Then reduce the volume of the second-longest audio clip to -10 dB.,"[required] attribute_equals({""entity"": ""audio_clip_4"", ""field"": ""audio.muted"", ""value"": true}) 
[required] attribute_equals({""entity"": ""audio_clip_2"", ""field"": ""audio.volume"", ""value"": -10.0}) 
[required] unchanged_except({""changed"": [""audio_clip_4"", ""audio_clip_2""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,longest'/'second-longest' are duration selectors resolved to ac4/ac2 and enforced by attribute_equals(muted true; volume -10)+unchanged_except; no duration requirement in prose.,COVERED,,test,state/cumulative,feasible/state/cumulative/test/NLEB-ST-CU-023.yaml,
NLEB-ST-CU-026,duration_mention_without_duration_constraint,Longest audio: -3 dB. / First audio on track 1: add a fade-in effect. / Last video on V1: rotate 5 degrees. Keep earlier changes.,"[required] attribute_equals({""entity"": ""audio_clip_4"", ""field"": ""audio.volume"", ""value"": -3.0}) 
[required] has_effect({""entity"": ""audio_clip_1"", ""effect_type"": ""fade_in""}) 
[required] attribute_equals({""entity"": ""video_clip_3"", ""field"": ""transform.rotation"", ""value"": 5.0}) 
[required] unchanged_except({""changed"": [""audio_clip_4"", ""audio_clip_1"", ""video_clip_3""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"Longest audio' is a selector resolved to audio_clip_4, enforced by attribute_equals(volume -3); other turns covered by has_effect(fade_in ac1), attribute_equals(rotation 5 vc3), unchanged_except.",COVERED,,test,state/cumulative,feasible/state/cumulative/test/NLEB-ST-CU-026.yaml,
NLEB-ST-CU-031,duration_mention_without_duration_constraint,Set the first transition's duration to 2 seconds. / Now remove it and add a fade-out effect to the clip before it instead. Keep any prior state.,"[required] entity_count_changed({""type"": ""transition"", ""direction"": ""decrease""}) 
[required] has_effect({""entity"": ""vc_1"", ""effect_type"": ""fade_out""})","V1: vc_1(0-5s), vc_2(5-10s) | A1: ac_1(0-5s), ac_2(5-10s)",AMBIGUOUS,"Turn 1 'set the first transition's duration to 2 seconds' is normative but the transition is removed in turn 2, so no final-state predicate can check it (fixture value already 2s); checkability of transient state unclear.",CONFIRMED_GAP,"It is underspecified exactly what the transition deletes and what must not change. The way vc_1 is referred to is somewhat unrealistic, though not entirely nonsensical.",test,state/cumulative,feasible/state/cumulative/test/NLEB-ST-CU-031.yaml,
NLEB-ST-CU-035,duration_mention_without_duration_constraint,"On timeline 1, find the video clip with the longest duration and scale it to 0.85. / Now set the quietest audio clip's volume to 0 dB. / Rotate the scaled clip by 5 degrees. Preserve everything. / Finally add a saturation effect to the earliest-starting video clip.","[required] attribute_equals({""entity"": ""vc_2"", ""field"": ""transform.scale_x"", ""value"": 0.85}) 
[required] attribute_equals({""entity"": ""ac_1"", ""field"": ""audio.volume"", ""value"": 0.0}) 
[required] attribute_equals({""entity"": ""vc_2"", ""field"": ""transform.rotation"", ""value"": 5.0}) 
[required] has_effect({""entity"": ""vc_1"", ""effect_type"": ""saturation""}) 
[required] unchanged_except({""changed"": [""vc_2"", ""ac_1"", ""vc_1""]})","V1: vc_1(0-10s), vc_2(10-25s), vc_3(25-40s) | A1: ac_1(0-10s), ac_2(10-25s), ac_3(25-40s) | Caption Track 1: cc_1(1-4s), cc_2(5-9s), cc_3(12-18s), cc_4(30-35s) | V1: vc_4(0-25s), vc_5(25-40s) | A1: ac_4(0-25s), ac_5(25-40s) | V1: vc_6(0-15s), vc_7(15-25s) | A1: ac_6(0-15s), ac_7(15-25s)",COVERED,"clip with the longest duration' is a selector resolved to vc_2, enforced by attribute_equals(scale 0.85, rotation 5)+unchanged_except; no duration demand in prose.",AMBIGUOUS,How is one to know whether the longest video is vc_2 or vc_3? Both are 15 seconds. And how is one to identify the quietest video from this information alone?,test,state/cumulative,feasible/state/cumulative/test/NLEB-ST-CU-035.yaml,
NLEB-ST-DE-025,duration_mention_without_duration_constraint,Add a fade-in to the first V1 clip. / And a fade-out to the last V1 clip so the sequence has clean bookends.,"[required] has_effect({""entity"": ""video_clip_1"", ""effect_type"": ""fade_in""}) 
[required] has_effect({""entity"": ""video_clip_3"", ""effect_type"": ""fade_out""}) 
[required] unchanged_except({""changed"": [""video_clip_1"", ""video_clip_3""]})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",COVERED,"so the sequence has clean bookends' is descriptive rationale, not an added gradeable demand; fade-in/fade-out enforced by has_effect(vc1 fade_in, vc3 fade_out)+unchanged_except. No duration prose.",COVERED,"I do not know what ""bookend"" means, but setting that reading aside, this looks right.",test,state/dependent,feasible/state/dependent/test/NLEB-ST-DE-025.yaml,
NLEB-ST-DE-029,duration_mention_without_duration_constraint,Remove the last video clip on the timeline. / Update the caption 'End' to match the new last clip's end time.,"[required] entity_not_exists({""entity"": ""video_clip_3""}) 
[required] entity_count_changed({""type"": ""video_clip"", ""direction"": ""decrease""})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",CONFIRMED_GAP,"Update the caption End to match the new last clip's end time' normative, fixture-derivable (vc2 end after vc3 removal); no constraint touches the caption at all — turn 2 entirely ungraded.",CONFIRMED_GAP,"Whether an existing caption read ""End"", and if so what it was, cannot be determined from the information given. An entity-count decrease alone is not a sufficient condition.",test,state/dependent,feasible/state/dependent/test/NLEB-ST-DE-029.yaml,
NLEB-ST-DE-030,duration_mention_without_duration_constraint,Remove the transition between the intro and second clip on V1. / Add a 1-second gap between those clips by shifting the later one forward.,"[required] entity_count_changed({""type"": ""transition"", ""direction"": ""decrease""}) 
[required] attribute_changed({""entity"": ""vc_2"", ""field"": ""timeline_start"", ""direction"": ""increase""})","V1: vc_1(0-5s), vc_2(5-10s) | A1: ac_1(0-5s), ac_2(5-10s)",CONFIRMED_GAP,"Add a 1-second gap' is a normative exact amount, fixture-derivable (vc_2 timeline_start 5->6); only attribute_changed(timeline_start, increase) — any positive shift passes; attribute_equals missing.",CONFIRMED_GAP,"Since no transition is visible in column E, there may have been none to begin with, so checking for a decrease is not appropriate. Even if one existed, a condition naming exactly which entity is deleted would be more rigorous. The 1-second gap also lacks a condition checking the numeric value.",test,state/dependent,feasible/state/dependent/test/NLEB-ST-DE-030.yaml,
